smiles,hit0,hit1
[H]c1nc(C(=O)N([H])c2c([H])[nH]c(=O)c3c([H])c([H])c([H])c([H])c23)c([C@]([H])(N([H])[H])C([H])([H])N([H])[C@@]([H])(c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])o1,7gp9-a,B0839a
[H]c1nc([H])c(-c2c(C([H])([H])N=[S@](=O)(N([H])C([H])([H])c3c([H])c([H])c4c(c3[H])OC([H])([H])O4)C([H])([H])C([H])([H])[H])c([H])c3nnc(N([H])[H])n3c2[H])nc1[H],7gp9-a,B0857a
[H]c1n[nH]c([H])c1N([H])C(=O)N([H])c1c(C([H])([H])N=[S@](=O)(N([H])C([H])([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)C([H])([H])C([H])([H])[H])c([H])c([H])c2nnc([H])n12,7gp9-a,B0875a
[H]C([H])=C([H])[C@]1(N([H])[H])N([H])[C@]([H])(N([H])c2c([H])c([H])c([H])c3nnc([H])n23)N([H])N(C([H])([H])C([H])([H])C([H])([H])[H])[C@]12C([H])([H])C1=C(OC([H])([H])O1)C([H])([H])C2([H])[H],7gp9-a,B0914a
[H]c1nc([H])c([H])c(C([H])([H])Sc2c([H])c(C([H])([H])N=[S@](=O)(N([H])C([H])([H])c3c([H])c([H])c4c(c3[H])OC([H])([H])O4)C([H])([H])C([H])([H])[H])c([H])c3nnc([H])n23)c1[H],7gp9-a,B0931a
[H]c1sc2c(=O)[nH]c(Sc3c([H])c(N=[S@](=O)(N([H])C([H])([H])c4c([H])c([H])c5c(c4[H])OC([H])([H])O5)C([H])([H])C([H])([H])[H])c([H])c4nnc([H])n34)nc2c1[H],7gp9-a,B0938a
[H]c1c([H])c(C([H])([H])N([H])[S@@](=O)(=NC([H])([H])[C@]2([H])c3nn[nH]c3C([H])([H])N(S(=O)(=O)N3C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])C2([H])[H])C([H])([H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2,7gp9-a,B1020a
[H]c1c([H])c(Sc2nc3c([H])c4c([H])c5c(c([H])c4c(S(=O)(=O)C([H])([H])C([H])([H])[H])c3[nH]2)OC([H])([H])O5)n2c([H])nnc2c1[H],7gp9-a,B1219a
[H]c1c([H])c(C([H])([H])N([H])[S@@](=O)(=NC([H])([H])[C@@]2([H])c3c([H])c([H])c(S(=O)(=O)F)c([H])c3C(=O)N2[H])C([H])([H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2,7gp9-a,B1264a
[H]c1[nH]c(C([H])([H])C([H])([H])N=[S@](=O)(N([H])C([H])([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)C([H])([H])C([H])([H])[H])nc(=O)c1[H],7gp9-a,B1307a
[H]Oc1nc(C([H])([H])N(C([H])([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)S(=O)(=O)C([H])([H])C([H])([H])[H])nc([H])c1[H],7gp9-a,B1361a
[H]C1:O:C([H]):O:C1C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N([H])C[C@@]([H])(C([H])([H])C([H])([H])[H])N([H])C1([H])[H],7gp9-a,B1456a
[H]Oc1nc(C([H])([H])N(C([H])([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)S(=O)(=O)C([H])([H])C([H])([H])[H])nc(C([H])([H])[H])c1[H],7gp9-a,B1457a
[H]Oc1nc(C([H])([H])N(C([H])([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)S(=O)(=O)C([H])([H])C([H])([H])[H])nc([H])c1[H],7gp9-a,B1460a
[H]C(C(=O)OC([H])([H])C([H])([H])[H])=C([H])c1c([H])c(N=[S@](=O)(N([H])C([H])([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)C([H])([H])C([H])([H])[H])c([H])c(C(=O)N([H])[H])c1[H],7gp9-a,B1462a
[H]c1c2c(c([H])c3c1C([H])([H])N(C)C([H])([H])C3([H])[H])OC([H])([H])O2,7gp9-a,B1463a
[H]c1c([H])c(C([H])([H])N([H])[S@@](=O)(=NC([H])([H])C([H])([H])n2nnnc2C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2,7gq4-a,7gp9-a
[H]c1c2c(n([H])c1[H])C([H])([H])C([H])([H])C([H])([H])[C@@]21N([H])N([H])[C@@]([H])(C([H])([H])[H])N1N([H])[H],7gq4-a,7gok-a
[H]N(C(=O)[C@@]1([H])OC([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H])n1nnnc1C([H])([H])[H],7gq4-a,7gol-a
[H]c1c(/C(=N\C([H])([H])C([H])([H])C([H])([H])n2nnnc2C([H])([H])[H])N([H])C([H])([H])C(=O)OC([H])([H])[H])noc1C([H])([H])[H],7gq4-a,7goy-a
[H]c1c([H])c([H])c2c(nnn2N([H])[H])c1[H],7gq4-a,7gqf-a
[H]c1nc([H])c2nnnn2c1[H],7gq4-a,7go2-a
[H]c1c([H])c(C([H])([H])C(=O)N([H])C([H])([H])[H])c([H])c([H])c1-c1c([H])c([H])n2nnc(C([H])([H])[H])c2c1[H],7gq4-a,B0436a
[H]c1c([H])c(-c2c([H])c([H])n3nnc(C([H])([H])[H])c3c2[H])c([H])c(N([H])S(=O)(=O)C([H])([H])[H])c1[H],7gq4-a,B0439a
[H]c1c([H])c([H])c(C([H])([H])N(C(=O)N([H])C([H])([H])C([H])([H])n2nnnc2C([H])([H])[H])C([H])([H])[H])c([H])c1[H],7gq4-a,B0446a
[H]c1c([H])c(-c2c([H])c([H])n3nnc(C([H])([H])[H])c3c2[H])c([H])c(OC([H])([H])[H])c1OC([H])([H])[H],7gq4-a,B0450a
[H]c1c([H])c([H])c(C([H])([H])N(C(=O)C([H])([H])n2nnnc2C([H])([H])[H])C([H])([H])[H])c([H])c1[H],7gq4-a,B0454a
[H]c1c([H])c(-c2c([H])c([H])n3nnc(C([H])([H])[H])c3c2[H])c([H])c([H])c1C(=O)N([H])C([H])([H])[H],7gq4-a,B0455a
[H]OC([H])([H])c1c([H])c([H])c([C@]2([H])C([H])([H])N(C(=O)C([H])([H])n3nnnc3C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],7gq4-a,B0525a
[H]c1c([H])c([H])c(C2=[S@]([H])(=O)[C@]3(c4c([H])c([H])c([H])n5nnc(c45)C3[H])C([H])([H])C2([H])[H])c([H])c1[H],7gq4-a,B0691a
[H]c1c([H])c([H])c(-c2nc(C([H])([H])N([H])C([H])([H])c3c([H])c([H])c([H])c4nnnn34)n[nH]2)c([H])c1[H],7gq4-a,B0723a
[H]c1[nH]c(-c2nnc(Sc3c([H])c([H])c([H])n4nnc(C([H])([H])[H])c34)o2)c([H])c1[H],7gq4-a,B0738a
[H]c1c([H])c([H])c(-c2nc(C([H])([H])c3nnn4c([H])c([H])c([H])c([H])c34)n[nH]2)c([H])c1[H],7gq4-a,B0742a
[H]C1=C2N(c3c([H])c([H])c([H])n4nnc1c34)[S@@]([H])(=O)=C(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C2([H])[H],7gq4-a,B0805a
[H]c1nc([H])c(-c2c([H])c([H])n3nnc(C([H])([H])[H])c3c2[H])nc1[H],7gq4-a,B0857a
[H]c1c(N([H])C2C([H])NNC2[H])c([H])c2c3c1N([H])N([H])[C@@]3([H])C([H])([H])C([H])([H])C2([H])[H],7gq4-a,B0875a
[H]C([H])=C([H])C([H])([H])n1c(Sc2c([H])c([H])c([H])c3nnnn23)nnc1-c1c([H])nc([H])c([H])c1[H],7gq4-a,B0914a
[H]C1:C(C([H])([H])c2c([H])c([H])nc([H])c2[H]):C2:C(NC([H])N2)C([H])C([H])C1[H],7gq4-a,B0931a
[H]c1sc2c(=O)nc(S[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])N4N([H])C([H])([H])N([H])[C@@]43[H])[nH]c2c1[H],7gq4-a,B0938a
[H]N1C([H])([H])C([H])([H])N(S(=O)(=O)N2C([H])([H])c3nnnn3C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],7gq4-a,B1020a
[H]c1c(F)c([H])c2[nH]c(Sc3c([H])c([H])c([H])c4nnnn34)nc2c1[H],7gq4-a,B1219a
[H]c1c2nnnc-2c([H])c(S(=O)(=O)F)c([H])c1[H],7gq4-a,B1264a
