https://fragalysis.diamond.ac.uk/viewer/react/projects/1865/568,,,,,,,,,,,,,,,,,,
smiles,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,name,compound_set,inspiration_1,inspiration_2,green,green-text
CC[S@](=O)(=NCc1ccc2nncn2c1NC(=O)Nc1cn[nH]c1)NCc1ccc2c(c1)OCO2,350558,4.986634,0.79272,501,495,6408,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C495-P13,acceptable,expansion,None,IOOBSWUQFSORJH-PGUFJCEWSA-N,v35a,35,7gp9-a,B0875a,true,green
CC[S@](=O)(=NCc1cc(SCc2ccncc2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,350558,3.396608,0.831143,522,497,6411,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C497-P164,acceptable,expansion,None,AFAIYXZRJDCNKK-UUWRZZSWSA-N,v38a,35,7gp9-a,B0931a,true,green
CC[S@](=O)(=NC[C@H]1CN(S(=O)(=O)N2CCNCC2)Cc2[nH]nnc21)NCc1ccc2c(c1)OCO2,350558,7.318127,0.857158,545,499,6415,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C499-P13,acceptable,expansion,None,QEYIRGNJEXUPFD-JCYUZIAUSA-N,v42a,35,7gp9-a,B1020a,true,green
CCS(=O)(=O)c1c2cc3c(cc2cc2nc(Sc4cccc5nncn45)[nH]c12)OCO3,350558,7.865066,0.720376,568,500,6417,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C500-P13,acceptable,expansion,None,OEWYTKMMRVAGLC-UHFFFAOYSA-N,v44a,35,7gp9-a,B1219a,true,green
CC[S@](=O)(=NC[C@@H]1NC(=O)c2cc(S(=O)(=O)F)ccc21)NCc1ccc2c(c1)OCO2,350558,4.034431,0.837755,583,501,6419,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C501-P13,acceptable,expansion,None,YCTDSFVDJVJPFF-BEIWTESXSA-N,v46a,35,7gp9-a,B1264a,true,green
Cc1cc(=O)nc(CCNS(=O)(=O)c2ccns2)[nH]1,350559,2.929442,0.862928,2873,257,6425,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C257-P147,acceptable,expansion,None,XAJDCZGWKOCIFY-UHFFFAOYSA-N,v52a,35,B0723a,B1307a,true,green
Cc1cc(O)nc(CCN(C)S(=O)(=O)N2CC[C@H](N)C2)n1,350559,2.432239,0.800297,3965,321,6429,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C321-P190,acceptable,expansion,None,ARJRRNVYNBTWSC-JTQLQIEISA-N,v56a,35,B0525a,B1368a,true,green
Cn1ccc(S(=O)(=O)NCNc2nnc3ccccn23)n1,350558,1.682114,0.620907,4327,707,6430,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C707-P129,acceptable,expansion,None,HFOLJJOFUVOQHO-UHFFFAOYSA-N,v57a,35,7gqf-a,B0439a,true,green
Cc1cc(O)nc(CCNS(=O)(=O)c2ccc(N)nc2)n1,350559,3.751124,0.872883,4855,407,6432,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C407-P72,acceptable,expansion,None,UORMEOYXXLBBFS-UHFFFAOYSA-N,v59a,35,7gqf-a,B1460a,true,green
Cc1cc(O)nc(CCNS(=O)(=O)c2ccc(N)nc2)n1,350559,3.104985,0.870628,4862,407,6433,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C407-P78,acceptable,expansion,None,UORMEOYXXLBBFS-UHFFFAOYSA-N,v59b,35,7gqh-a,B1460a,true,green
O=S(=O)(NCCc1nnc2cnccn12)N1CCOCC1,350558,1.894235,0.574568,4917,759,6434,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C759-P105,acceptable,expansion,None,SKZWXAFOZXXRRV-UHFFFAOYSA-N,v61a,35,7go2-a,B0454a,true,green
CS(=O)(=O)Nc1cccc(-c2ccc3nnc(N)n3c2Sc2nnc(-c3ccc[nH]3)o2)c1,350558,5.623458,0.646968,5803,824,6438,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C824-P194,acceptable,expansion,None,FYSFPMUXJFXROW-UHFFFAOYSA-N,v65a,35,B0436a,B1456a,true,green
Cc1cc(O)nc(CCNS(=O)(=O)N2CCN(N)CC2)n1,350559,3.352862,0.827206,5889,469,6439,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C469-P202,acceptable,expansion,None,MFLOENYQIXAYNO-UHFFFAOYSA-N,v66a,35,7gp2-a,B1463a,true,green
CS(=O)(=O)Nc1cccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)c2ccc(N)nc2)c1,350558,3.336365,0.699778,6013,839,6441,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C839-P130,acceptable,expansion,None,UVSREIOAEVDTLH-UHFFFAOYSA-N,v68a,35,B0439a,B0446a,true,green
CS(=O)(=O)Nc1cccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)N2CCOCC2)c1,350558,2.985705,0.722876,6021,841,6442,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C841-P134,acceptable,expansion,None,HINZQSGCFNLQAV-UHFFFAOYSA-N,v69a,35,B0439a,B0454a,true,green
COc1ccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)c2ccc(O)cc2)cc1OC,350558,6.792724,0.586533,6698,898,6443,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C898-P132,acceptable,expansion,None,XWNWUCBTZBBRJK-UHFFFAOYSA-N,v70a,35,7gp2-a,B0450a,true,green
COc1ccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)c2ccn(C)n2)cc1OC,350558,3.554047,0.655389,6705,900,6445,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C900-P132,acceptable,expansion,None,DJBIKPKHMQFQII-UHFFFAOYSA-N,v71b,35,7gpm-a,B0450a,true,green
CN(Cc1ccc(N)cc1)[C@]1(O)CCc2nncn2C1,350558,4.98925,0.743493,6871,933,6446,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C933-P78,acceptable,expansion,None,QDIUYSLVZGQQOA-AWEZNQCLSA-N,v73a,35,7gqh-a,B0454a,true,green
CNC(=O)c1ccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)c2cscn2)cc1,350558,3.276448,0.616732,7024,962,6448,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C962-P70,acceptable,expansion,None,MMMSZMUZWHYISC-UHFFFAOYSA-N,v75a,35,7gpm-a,B0455a,true,green
O=S1(=O)[C@@H](c2ccccc2)CCN1c1cccc2nncn12,350558,60.765834,0.251786,7054,117,6449,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C117-P128,acceptable,expansion,None,YWAUSXIRKVBYLY-CYBMUJFWSA-N,v76a,35,B0436a,B0525a,true,green
